Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Treated(Y/N),Difference
A,1,101,16,9,2,3,1,1,y,0
A,1,102,13,12,1,,,,,0
A,1,201,18,8,3,3,,4,y,0
A,1,202,17,11,4,2,,,y,0
A,2,101,23,12,3,3,,5,y,0
A,2,102,18,13,3,2,,,y,0
A,2,201,19,9,2,2,1,5,y,0
A,2,202,17,12,3,2,,,y,0
A,3,101,18,6,4,2,,6,y,0
A,3,102,18,11,4,2,,1,y,0
A,3,103,13,12,1,,,,,0
A,3,201,15,6,3,2,1,3,y,0
A,3,202,17,12,3,2,,,y,0
A,3,203,12,12,,,,,,0
A,4,101,21,8,4,4,,5,y,0
A,4,102,20,12,4,4,,,y,0
A,4,103,14,13,1,,,,,0
A,4,201,19,8,3,2,1,5,y,0
A,4,202,18,12,3,3,,,y,0
A,4,203,11,11,,,,,,0
A,5,101,19,7,3,4,,5,y,0
A,5,102,18,9,3,6,,,y,0
A,5,201,35,12,8,10,2,3,y,0
A,5,202,14,8,5,1,,,,0
A,6,101,15,4,3,3,1,4,y,0
A,6,102,15,10,3,2,,,y,0
A,6,201,30,13,5,5,2,5,y,0
A,6,202,15,9,4,2,,,y,0
A,7,101,25,9,6,7,1,2,y,0
A,7,102,15,14,1,,,,,0
A,7,201,27,10,5,5,2,5,y,0
A,7,202,12,8,3,1,,,,0
A,8,101,18,7,3,3,2,3,y,0
A,8,102,16,8,3,4,1,,y,0
A,8,103,14,14,,,,,,0
A,8,201,16,5,3,3,2,3,y,0
A,8,202,14,8,4,2,,,y,0
A,9,101,7,2,2,2,1,,y,0
A,9,102,7,7,,,,,,0
A,9,201,7,1,3,3,,,y,0
A,9,202,7,6,1,,,,,0
A,10,101,7,1,1,2,1,2,y,0
A,10,102,7,4,2,1,,,,0
A,10,201,7,1,2,3,1,,y,0
A,10,202,8,8,,,,,,0
A,11,101,8,2,,5,1,,y,0
A,11,201,8,,,4,2,2,y,0
A,12,101,7,2,2,1,2,,n,0
A,12,102,8,8,,,,,,0
A,12,201,8,1,2,2,,3,y,0
A,12,202,7,4,3,,,,,0
A,13,101,7,2,2,3,,,y,0
A,13,201,7,1,3,3,,,y,0
A,14,101,6,,1,1,2,2,,0
A,14,102,8,2,3,3,,,y,0
A,14,103,7,7,,,,,,0
A,14,201,7,1,3,3,,,y,0
A,14,202,8,8,,,,,,0
B,1,101,17,7,3,3,,4,y,0
B,1,102,16,9,3,3,,1,y,0
B,1,103,14,13,1,,,,,0
B,1,201,14,4,3,2,,5,y,0
B,1,202,27,17,7,3,,,y,0
B,1,203,14,13,1,,,,,0
B,2,101,18,7,3,2,,6,y,0
B,2,102,17,10,3,4,,,y,0
B,2,103,12,12,,,,,,0
B,2,201,17,6,3,4,,4,y,0
B,2,202,18,11,3,4,,,y,0
B,2,203,11,11,,,,,,0
B,3,101,16,9,3,1,,3,y,0
B,3,102,16,11,4,1,,,y,0
B,3,201,20,8,3,3,,6,y,0
B,3,202,17,10,4,3,,,y,0
B,4,101,,,,,,,y,0
B,4,102,16,9,4,3,,,y,0
B,4,103,12,11,1,,,,,0
B,4,201,18,9,3,4,1,1,y,0
B,4,202,15,12,3,,,,,0
B,5,101,17,5,4,4,,4,y,0
B,5,102,16,9,4,3,,,y,0
B,5,201,18,10,3,4,1,,y,0
B,6,101,11,5,2,,2,2,y,0
B,6,102,15,8,3,4,,,y,0
B,6,201,15,7,4,3,1,,y,0
B,7,101,36,16,5,8,3,4,y,0
B,7,102,15,8,4,3,,,y,0
B,7,201,18,7,4,4,2,1,y,0
B,7,202,14,12,2,,,,,0
B,8,101,18,6,3,4,2,3,y,0
B,8,102,16,10,4,2,,,y,0
B,8,201,10,10,,,,,,0
B,9,101,8,2,3,3,,,y,0
B,9,102,6,6,,,,,,0
B,9,201,7,,,1,2,4,y,0
B,9,202,7,3,1,3,,,y,0
B,10,101,8,,2,4,2,,y,0
B,10,102,8,4,3,1,,,y,0
B,10,201,7,,2,4,1,,y,0
B,10,202,8,6,2,,,,,0
B,11,101,7,7,,,,,,0
B,11,201,8,2,2,3,1,,y,0
B,11,202,7,6,1,,,,,0
B,12,101,7,,1,2,3,1,y,0
B,12,102,7,3,4,,,,,0
B,12,201,8,1,1,3,2,1,y,0
B,12,202,7,4,3,,,,,0
B,13,101,7,1,2,2,1,1,y,0
B,13,201,8,2,3,3,,,y,0
B,13,202,8,8,,,,,,0
B,14,101,7,1,1,3,1,1,y,0
B,14,102,7,7,,,,,,0
B,14,201,9,3,2,4,,,y,0
B,14,202,7,7,,,,,,0
C,1,101,34,15,6,4,,9,y,0
C,1,102,17,11,2,3,,1,y,0
C,1,103,13,13,,,,,,0
C,1,201,35,15,5,4,,11,y,0
C,1,202,17,10,3,3,,1,y,0
C,1,203,13,13,,,,,,0
C,2,101,20,12,3,3,,2,y,0
C,2,102,14,13,1,,,,,0
C,2,201,19,11,3,3,,2,y,0
C,2,202,13,12,1,,,,,0
C,3,101,18,8,3,2,,5,y,0
C,3,102,15,10,3,2,,,y,0
C,3,201,17,8,4,3,,2,y,0
C,3,202,15,14,1,,,,,0
C,4,101,18,8,3,2,1,4,y,0
C,4,102,17,10,3,4,,,y,0
C,4,103,14,14,,,,,,0
C,4,201,34,12,8,3,1,10,y,0
C,4,202,19,13,3,3,,,y,0
C,5,101,20,9,3,4,,4,y,0
C,5,102,15,9,4,2,,,y,0
C,5,103,10,10,,,,,,0
C,5,201,29,10,4,7,3,5,y,0
C,5,202,15,10,3,2,,,y,0
C,6,101,18,9,2,3,,4,y,0
C,6,102,15,11,3,1,,,y,0
C,6,201,19,8,3,2,1,5,y,0
C,6,202,15,11,3,1,,,y,0
C,7,101,31,15,5,4,2,5,y,0
C,7,102,10,8,2,,,,,0
C,7,103,12,12,,,,,,0
C,7,201,30,8,8,4,,10,y,0
C,7,202,18,10,4,4,,,y,0
C,7,203,12,12,,,,,,0
C,8,101,18,7,3,2,1,5,y,0
C,8,102,15,9,4,2,,,y,0
C,8,201,27,10,5,5,3,4,y,0
C,8,202,15,10,3,2,,,y,0
C,8,203,15,15,,,,,,0
C,9,101,8,2,2,1,1,2,y,0
C,9,102,7,6,1,,,,,0
C,9,201,8,3,3,2,,,y,0
C,9,202,7,7,,,,,,0
C,10,101,7,2,2,1,,2,y,0
C,10,102,7,7,,,,,,0
C,10,201,7,1,2,3,1,,y,0
C,10,202,8,8,,,,,,0
C,11,101,6,,2,,3,1,y,0
C,11,102,6,5,1,,,,,0
C,11,201,8,2,2,2,2,,y,0
C,11,202,7,7,,,,,,0
C,12,101,5,2,1,1,,1,y,0
C,12,102,5,4,1,,,,,0
C,12,201,7,1,2,4,,,y,0
C,12,202,7,7,,,,,,0
C,13,101,8,2,2,3,1,,y,0
C,13,102,7,7,,,,,,0
C,13,201,8,3,2,3,,,y,0
C,13,202,4,4,,,,,,0
C,14,101,7,1,2,2,1,1,y,0
C,14,102,8,6,2,,,,,0
C,14,201,8,1,3,2,1,1,y,0
C,14,202,8,8,,,,,,0
E,1,101,18,9,3,2,,4,,0
E,1,102,15,11,4,,,,,0
E,1,201,20,11,3,3,1,2,,0
E,1,202,14,11,3,,,,,0
E,2,101,12,6,3,3,,,,0
E,2,102,14,13,1,,,,,0
E,2,201,16,10,5,1,,,,0
E,2,202,12,12,,,,,,0
E,3,101,17,10,3,3,,1,,0
E,3,102,21,19,2,,,,,0
E,3,201,28,16,6,3,2,1,,0
E,3,202,27,23,4,,,,,0
E,3,203,12,12,,,,,,0
E,4,101,19,11,4,3,,1,,0
E,4,102,14,13,1,,,,,0
E,4,201,18,10,3,3,,2,,0
E,4,202,15,13,2,,,,,0
E,5,101,16,10,3,3,,,,0
E,5,102,11,11,,,,,,0
E,5,201,17,9,3,3,2,,,0
E,5,202,10,8,1,1,,,,0
E,6,101,16,10,4,2,,,,0
E,6,102,14,14,,,,,,0
E,6,201,25,7,8,5,3,2,,0
E,6,202,16,9,4,3,,,,0
E,6,203,20,19,1,,,,,0
E,7,101,8,2,1,2,2,1,,0
E,7,102,6,4,2,,,,,0
E,7,201,7,3,1,3,,,,0
E,8,101,9,6,1,3,,,,-1
E,8,201,7,3,1,3,,,,0
E,8,202,7,7,,,,,,0
E,9,101,8,4,2,2,,,,0
E,9,102,8,8,,,,,,0
E,9,201,,,,,,,,0
F,1,101,49,24,10,4,1,10,,0
F,1,102,17,11,4,2,,,,0
F,1,201,15,3,3,3,,6,,0
F,1,202,15,10,3,2,,,,0
F,2,101,19,11,3,3,,2,,0
F,2,102,13,13,,,,,,0
F,2,201,17,10,2,3,1,1,,0
F,2,202,13,12,1,,,,,0
F,3,101,17,11,3,2,,1,,0
F,3,102,15,14,1,,,,,0
F,3,201,19,11,3,2,,3,,0
F,3,202,14,13,1,,,,,0
F,4,101,29,10,8,3,1,7,,0
F,4,102,18,10,4,2,2,,,0
F,4,103,11,10,1,,,,,0
F,4,201,17,6,3,2,1,5,,0
F,4,202,17,11,3,2,1,,,0
F,4,203,11,11,,,,,,0
F,5,101,33,14,6,4,,9,,0
F,5,102,18,11,4,3,,,,0
F,5,103,12,12,,,,,,0
F,5,201,46,20,7,5,1,13,,0
F,5,202,17,12,3,2,,,,0
F,5,203,13,13,,,,,,0
F,6,101,17,8,3,3,,3,,0
F,6,102,15,13,2,,,,,0
F,6,201,14,5,3,1,,5,,0
F,6,202,17,11,4,2,,,,0
F,7,101,8,2,1,2,2,1,,0
F,7,102,7,7,,,,,,0
F,7,201,7,1,2,2,1,1,,0
F,7,202,7,5,2,,,,,0
F,8,201,7,3,1,3,,,,0
F,8,202,7,7,,,,,,0
F,9,101,8,2,2,2,2,,,0
F,9,102,7,7,,,,,,0
F,9,201,8,2,3,2,1,,,0
F,9,202,7,7,,,,,,0
F,10,101,8,1,1,2,1,3,,0
F,10,102,8,4,4,,,,,0
F,10,201,7,1,2,2,2,,,0
F,10,202,7,7,,,,,,0
F,11,101,7,1,2,2,2,,,0
F,11,102,6,6,,,,,,0
F,11,201,7,,1,2,1,3,,0
F,11,202,6,3,3,,,,,0